name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date,us_local_price,big_mac_ex,over_under_value
South Korea,KOR,KRW,3200.0,1177.0,13159.68,16470682.09,2004-05-01,2.47,1295.5465587044534,0.10071925123572935
Sri Lanka,LKA,LKR,140.0,99.0,1061.68,101531.16,2004-05-01,2.47,56.68016194331983,-0.42747311168363805
Mexico,MEX,MXN,24.0,11.6,7987.33,77125.34,2004-05-01,2.47,9.7165991902834,-0.16236213876867236
Malaysia,MYS,MYR,5.04,3.8,4441.82,16878.93,2004-05-01,2.47,2.040485829959514,-0.4630300447474963
Norway,NOR,NOK,35.5,6.8491,43083.87,343972.1,2004-05-01,2.47,14.37246963562753,1.0984464580204012
New Zealand,NZL,NZD,4.35,1.64,15706.93,33834.78,2004-05-01,2.47,1.761133603238866,0.07386195319443058
Pakistan,PAK,PKR,110.0,57.76,662.991,40724.77,2004-05-01,2.47,44.534412955465584,-0.22897484495385068
Peru,PER,PEN,8.99,3.49,2017.77,7095.98,2004-05-01,2.47,3.6396761133603235,0.04288713849865996
Philippines,PHL,PHP,69.0,55.9,1050.3,54199.07,2004-05-01,2.47,27.935222672064775,-0.5002643529147625
Poland,POL,PLN,6.3,3.87,5205.52,21238.68,2004-05-01,2.47,2.5506072874493926,-0.340928349496281
Russia,RUS,RUB,42.0,29.0,2552.79,80050.7,2004-05-01,2.47,17.00404858299595,-0.4136534971380707
Saudi Arabia,SAU,SAR,2.4,3.7502,9937.44,37265.42,2004-05-01,2.47,0.9716599190283399,-0.7409045066854195
Singapore,SGP,SGD,3.3,1.71,22159.83,39679.14,2004-05-01,2.47,1.3360323886639673,-0.21869450955323547
Sweden,SWE,SEK,30.0,7.61,29846.19,290616.0,2004-05-01,2.47,12.14574898785425,0.596024834146419
Thailand,THA,THB,59.0,40.8,2096.19,90052.44,2004-05-01,2.47,23.886639676113358,-0.4145431451933
Turkey,TUR,TRY,3950000.0,1531000.0,3617.23,5453.31,2004-05-01,2.47,1599190.2834008096,0.044539701764082056
Taiwan,TWN,TWD,75.0,33.4,13651.36,472049.05,2004-05-01,2.47,30.364372469635626,-0.09088705180731656
Ukraine,UKR,UAH,7.25,5.3315,885.315,4715.74,2004-05-01,2.47,2.935222672064777,-0.44945649965961226
Uruguay,URY,UYU,29.8,29.735,4441.1,94286.31,2004-05-01,2.47,12.064777327935222,-0.5942566898289819
United States,USA,USD,2.47,1.0,37945.76,37945.76,2004-05-01,2.47,1.0,0.0
Venezuela,VEN,VEF,4400.0,2977.0,3778.26,,2004-05-01,2.47,1781.3765182186232,-0.40162024917076816
South Africa,ZAF,ZAR,12.4,6.66,2791.18,29353.45,2004-05-01,2.47,5.0202429149797565,-0.24620977252556212
UAE,ARE,AED,9.0,3.6725,35017.32,128601.1,2005-06-01,2.58,3.488372093023256,-0.050136938591353056
Argentina,ARG,ARS,4.75,2.897,3761.09,11098.37,2005-06-01,2.58,1.8410852713178294,-0.36448558118128077
Australia,AUS,AUD,3.25,1.3015,27288.86,41863.85,2005-06-01,2.58,1.2596899224806202,-0.03212453132491735
Brazil,BRA,BRL,5.9,2.4648,3165.2,9740.84,2005-06-01,2.58,2.2868217054263567,-0.07220800656184811
Canada,CAN,CAD,3.28,1.2494,28338.75,39702.99,2005-06-01,2.58,1.2713178294573642,0.017542684054237305
